Aluno,Unidade,Sala,Aula,Data,Fez a atividade antes da aula,Presença/Ausencia,Fez lição de casa,Participação
Estudante 11,Unidade Virtual (aulas aos sábados),Four Corners D1,7,2025-04-05,1.0,1.0,1.0,3
Estudante 11,Unidade Virtual (aulas aos sábados),Four Corners D1,8,2025-04-12,1.0,1.0,1.0,3
Estudante 11,Unidade Virtual (aulas aos sábados),Four Corners D1,9,2025-04-26,1.0,1.0,1.0,3
Estudante 11,Unidade Virtual (aulas aos sábados),Four Corners D1,10,2025-05-17,1.0,1.0,1.0,3
Estudante 11,Unidade Virtual (aulas aos sábados),Four Corners D1,11,2025-05-24,1.0,1.0,1.0,3
Estudante 11,Unidade Virtual (aulas aos sábados),Four Corners D1,12,2025-05-31,1.0,1.0,1.0,3
Estudante 11,Unidade Virtual (aulas aos sábados),Four Corners D1,13,2025-06-07,1.0,1.0,0.0,3
Estudante 11,Unidade Virtual (aulas aos sábados),Four Corners D1,14,,0.0,0.0,0.0,1
Estudante 11,Unidade Virtual (aulas aos sábados),Four Corners D1,15,,0.0,0.0,0.0,3
Estudante 12,Unidade Virtual (aulas aos sábados),Four Corners D1,1,2025-02-08,0.0,1.0,0.0,3
Estudante 12,Unidade Virtual (aulas aos sábados),Four Corners D1,2,2025-02-15,0.0,1.0,1.0,1
Estudante 12,Unidade Virtual (aulas aos sábados),Four Corners D1,3,2025-02-22,1.0,1.0,1.0,3
Estudante 12,Unidade Virtual (aulas aos sábados),Four Corners D1,4,2025-03-08,1.0,0.0,0.0,1
Estudante 12,Unidade Virtual (aulas aos sábados),Four Corners D1,5,2025-03-15,1.0,1.0,0.0,3
Estudante 12,Unidade Virtual (aulas aos sábados),Four Corners D1,6,2025-03-29,1.0,0.0,0.0,1
Estudante 12,Unidade Virtual (aulas aos sábados),Four Corners D1,7,2025-04-05,1.0,1.0,0.0,3
Estudante 12,Unidade Virtual (aulas aos sábados),Four Corners D1,8,2025-04-12,0.0,1.0,1.0,3
Estudante 12,Unidade Virtual (aulas aos sábados),Four Corners D1,9,2025-04-26,1.0,0.0,1.0,1
Estudante 12,Unidade Virtual (aulas aos sábados),Four Corners D1,10,2025-05-17,1.0,1.0,1.0,3
Estudante 12,Unidade Virtual (aulas aos sábados),Four Corners D1,11,2025-05-24,1.0,1.0,1.0,3
Estudante 12,Unidade Virtual (aulas aos sábados),Four Corners D1,12,2025-05-31,1.0,1.0,1.0,1
Estudante 12,Unidade Virtual (aulas aos sábados),Four Corners D1,13,2025-06-07,1.0,1.0,0.0,3
Estudante 12,Unidade Virtual (aulas aos sábados),Four Corners D1,14,,0.0,0.0,0.0,1
Estudante 12,Unidade Virtual (aulas aos sábados),Four Corners D1,15,,0.0,0.0,0.0,3
Estudante 13,Unidade Virtual (aulas aos sábados),Four Corners D1,1,2025-02-08,0.0,1.0,0.0,3
Estudante 13,Unidade Virtual (aulas aos sábados),Four Corners D1,2,2025-02-15,0.0,1.0,0.0,3
Estudante 13,Unidade Virtual (aulas aos sábados),Four Corners D1,3,2025-02-22,0.0,0.0,1.0,1
Estudante 13,Unidade Virtual (aulas aos sábados),Four Corners D1,4,2025-03-08,1.0,1.0,1.0,1
Estudante 13,Unidade Virtual (aulas aos sábados),Four Corners D1,5,2025-03-15,1.0,1.0,1.0,3
Estudante 13,Unidade Virtual (aulas aos sábados),Four Corners D1,6,2025-03-29,1.0,1.0,1.0,1
Estudante 13,Unidade Virtual (aulas aos sábados),Four Corners D1,7,2025-04-05,1.0,1.0,1.0,3
Estudante 13,Unidade Virtual (aulas aos sábados),Four Corners D1,8,2025-04-12,1.0,0.0,1.0,1
Estudante 13,Unidade Virtual (aulas aos sábados),Four Corners D1,9,2025-04-26,1.0,1.0,0.0,3
Estudante 13,Unidade Virtual (aulas aos sábados),Four Corners D1,10,2025-05-17,0.0,0.0,0.0,1
Estudante 13,Unidade Virtual (aulas aos sábados),Four Corners D1,11,2025-05-24,0.0,1.0,0.0,3
Estudante 13,Unidade Virtual (aulas aos sábados),Four Corners D1,12,2025-05-31,0.0,0.0,0.0,1
Estudante 13,Unidade Virtual (aulas aos sábados),Four Corners D1,13,2025-06-07,0.0,1.0,0.0,3
Estudante 13,Unidade Virtual (aulas aos sábados),Four Corners D1,14,,0.0,0.0,0.0,1
Estudante 13,Unidade Virtual (aulas aos sábados),Four Corners D1,15,,0.0,0.0,0.0,3
Estudante 14,Unidade Virtual (aulas aos sábados),Four Corners D1,1,2025-02-08,0.0,0.0,0.0,1
Estudante 14,Unidade Virtual (aulas aos sábados),Four Corners D1,2,2025-02-15,0.0,0.0,0.0,1
Estudante 14,Unidade Virtual (aulas aos sábados),Four Corners D1,3,2025-02-22,0.0,0.0,1.0,1
Estudante 14,Unidade Virtual (aulas aos sábados),Four Corners D1,4,2025-03-08,1.0,1.0,1.0,1
Estudante 14,Unidade Virtual (aulas aos sábados),Four Corners D1,5,2025-03-15,0.0,1.0,0.0,1
Estudante 14,Unidade Virtual (aulas aos sábados),Four Corners D1,6,2025-03-29,0.0,0.0,0.0,1
Estudante 14,Unidade Virtual (aulas aos sábados),Four Corners D1,7,2025-04-05,0.0,1.0,0.0,1
Estudante 14,Unidade Virtual (aulas aos sábados),Four Corners D1,8,2025-04-12,0.0,1.0,0.0,1
Estudante 14,Unidade Virtual (aulas aos sábados),Four Corners D1,9,2025-04-26,1.0,0.0,0.0,1
Estudante 14,Unidade Virtual (aulas aos sábados),Four Corners D1,10,2025-05-17,0.0,0.0,0.0,1
Estudante 14,Unidade Virtual (aulas aos sábados),Four Corners D1,11,2025-05-24,1.0,1.0,0.0,3
Estudante 14,Unidade Virtual (aulas aos sábados),Four Corners D1,12,2025-05-31,1.0,1.0,0.0,0
Estudante 14,Unidade Virtual (aulas aos sábados),Four Corners D1,13,2025-06-07,1.0,0.0,0.0,1
Estudante 14,Unidade Virtual (aulas aos sábados),Four Corners D1,14,,0.0,0.0,0.0,1
Estudante 14,Unidade Virtual (aulas aos sábados),Four Corners D1,15,,0.0,0.0,0.0,1
Estudante 15,Unidade Virtual (aulas aos sábados),Four Corners D1,1,2025-02-08,0.0,1.0,0.0,3
Estudante 15,Unidade Virtual (aulas aos sábados),Four Corners D1,2,2025-02-15,1.0,1.0,1.0,1
Estudante 15,Unidade Virtual (aulas aos sábados),Four Corners D1,3,2025-02-22,0.0,0.0,1.0,1
Estudante 15,Unidade Virtual (aulas aos sábados),Four Corners D1,4,2025-03-08,1.0,1.0,0.5,3
Estudante 15,Unidade Virtual (aulas aos sábados),Four Corners D1,5,2025-03-15,0.5,1.0,1.0,3
Estudante 15,Unidade Virtual (aulas aos sábados),Four Corners D1,6,2025-03-29,1.0,0.0,0.0,1
Estudante 15,Unidade Virtual (aulas aos sábados),Four Corners D1,7,2025-04-05,0.0,1.0,1.0,3
Estudante 15,Unidade Virtual (aulas aos sábados),Four Corners D1,8,2025-04-12,1.0,1.0,1.0,3
Estudante 15,Unidade Virtual (aulas aos sábados),Four Corners D1,9,2025-04-26,1.0,1.0,1.0,3
Estudante 15,Unidade Virtual (aulas aos sábados),Four Corners D1,10,2025-05-17,1.0,1.0,0.0,3
Estudante 15,Unidade Virtual (aulas aos sábados),Four Corners D1,11,2025-05-24,0.0,1.0,0.0,3
Estudante 15,Unidade Virtual (aulas aos sábados),Four Corners D1,12,2025-05-31,0.0,0.0,0.0,1
Estudante 15,Unidade Virtual (aulas aos sábados),Four Corners D1,13,2025-06-07,0.0,0.0,0.0,1
Estudante 15,Unidade Virtual (aulas aos sábados),Four Corners D1,14,,0.0,0.0,0.0,1
Estudante 15,Unidade Virtual (aulas aos sábados),Four Corners D1,15,,0.0,0.0,0.0,3
Estudante 16,Unidade Virtual (aulas aos sábados),Four Corners D1,1,2025-02-08,0.0,1.0,0.0,3
Estudante 16,Unidade Virtual (aulas aos sábados),Four Corners D1,2,2025-02-15,1.0,1.0,1.0,3
Estudante 16,Unidade Virtual (aulas aos sábados),Four Corners D1,3,2025-02-22,1.0,0.0,0.0,1
Estudante 16,Unidade Virtual (aulas aos sábados),Four Corners D1,4,2025-03-08,0.0,1.0,0.0,3
Estudante 16,Unidade Virtual (aulas aos sábados),Four Corners D1,5,2025-03-15,0.0,1.0,1.0,1
Estudante 16,Unidade Virtual (aulas aos sábados),Four Corners D1,6,2025-03-29,1.0,1.0,0.0,1
Estudante 16,Unidade Virtual (aulas aos sábados),Four Corners D1,7,2025-04-05,0.0,1.0,0.0,1
Estudante 16,Unidade Virtual (aulas aos sábados),Four Corners D1,8,2025-04-12,0.0,0.0,0.0,3
Estudante 16,Unidade Virtual (aulas aos sábados),Four Corners D1,9,2025-04-26,0.0,1.0,0.0,3
Estudante 16,Unidade Virtual (aulas aos sábados),Four Corners D1,10,2025-05-17,0.0,0.0,0.0,1
Estudante 16,Unidade Virtual (aulas aos sábados),Four Corners D1,11,2025-05-24,0.0,0.0,0.0,1
Estudante 16,Unidade Virtual (aulas aos sábados),Four Corners D1,12,2025-05-31,0.0,1.0,0.0,3
Estudante 16,Unidade Virtual (aulas aos sábados),Four Corners D1,13,2025-06-07,0.0,0.0,0.0,1
Estudante 16,Unidade Virtual (aulas aos sábados),Four Corners D1,14,,0.0,0.0,0.0,1
Estudante 16,Unidade Virtual (aulas aos sábados),Four Corners D1,15,,0.0,0.0,0.0,3
Estudante 17,Unidade Virtual (aulas aos sábados),Four Corners D1,1,2025-02-08,0.0,1.0,0.0,3
Estudante 17,Unidade Virtual (aulas aos sábados),Four Corners D1,2,2025-02-15,0.0,1.0,0.0,1
Estudante 17,Unidade Virtual (aulas aos sábados),Four Corners D1,3,2025-02-22,0.0,1.0,1.0,1
Estudante 17,Unidade Virtual (aulas aos sábados),Four Corners D1,4,2025-03-08,0.0,1.0,0.0,0
Estudante 17,Unidade Virtual (aulas aos sábados),Four Corners D1,5,2025-03-15,1.0,1.0,1.0,1
Estudante 17,Unidade Virtual (aulas aos sábados),Four Corners D1,6,2025-03-29,0.0,1.0,1.0,1
Estudante 17,Unidade Virtual (aulas aos sábados),Four Corners D1,7,2025-04-05,1.0,1.0,1.0,0
Estudante 17,Unidade Virtual (aulas aos sábados),Four Corners D1,8,2025-04-12,1.0,1.0,0.0,1
Estudante 17,Unidade Virtual (aulas aos sábados),Four Corners D1,9,2025-04-26,0.0,1.0,1.0,1
Estudante 17,Unidade Virtual (aulas aos sábados),Four Corners D1,10,2025-05-17,1.0,1.0,0.0,3
Estudante 17,Unidade Virtual (aulas aos sábados),Four Corners D1,11,2025-05-24,1.0,1.0,1.0,3
Estudante 17,Unidade Virtual (aulas aos sábados),Four Corners D1,12,2025-05-31,1.0,1.0,0.0,1
Estudante 17,Unidade Virtual (aulas aos sábados),Four Corners D1,13,2025-06-07,0.0,1.0,0.0,1
Estudante 17,Unidade Virtual (aulas aos sábados),Four Corners D1,14,,0.0,0.0,0.0,1
Estudante 17,Unidade Virtual (aulas aos sábados),Four Corners D1,15,,0.0,0.0,0.0,3
Estudante 2,Unidade Virtual (aulas aos sábados),Four Corners D1,1,2025-02-08,0.0,1.0,0.0,3
Estudante 2,Unidade Virtual (aulas aos sábados),Four Corners D1,2,2025-02-15,1.0,1.0,1.0,3
Estudante 2,Unidade Virtual (aulas aos sábados),Four Corners D1,3,2025-02-22,1.0,1.0,1.0,3
Estudante 2,Unidade Virtual (aulas aos sábados),Four Corners D1,4,2025-03-08,0.0,1.0,0.5,3
Estudante 2,Unidade Virtual (aulas aos sábados),Four Corners D1,5,2025-03-15,0.5,1.0,1.0,3
Estudante 2,Unidade Virtual (aulas aos sábados),Four Corners D1,6,2025-03-29,1.0,0.0,0.0,1
Estudante 2,Unidade Virtual (aulas aos sábados),Four Corners D1,7,2025-04-05,0.0,1.0,0.0,1
Estudante 2,Unidade Virtual (aulas aos sábados),Four Corners D1,8,2025-04-12,0.0,1.0,0.0,1
Estudante 2,Unidade Virtual (aulas aos sábados),Four Corners D1,9,2025-04-26,0.0,0.0,0.0,1
Estudante 2,Unidade Virtual (aulas aos sábados),Four Corners D1,10,2025-05-17,0.0,0.0,0.0,1
Estudante 2,Unidade Virtual (aulas aos sábados),Four Corners D1,11,2025-05-24,0.0,0.0,0.0,1
Estudante 2,Unidade Virtual (aulas aos sábados),Four Corners D1,12,2025-05-31,0.0,0.0,0.0,1
Estudante 2,Unidade Virtual (aulas aos sábados),Four Corners D1,13,2025-06-07,0.0,0.0,0.0,1
Estudante 2,Unidade Virtual (aulas aos sábados),Four Corners D1,14,,0.0,0.0,0.0,1
Estudante 2,Unidade Virtual (aulas aos sábados),Four Corners D1,15,,0.0,0.0,0.0,3
Estudante 3,Unidade Virtual (aulas aos sábados),Four Corners D1,1,2025-02-08,0.0,1.0,0.0,3
Estudante 3,Unidade Virtual (aulas aos sábados),Four Corners D1,2,2025-02-15,0.0,1.0,1.0,3
