Aluno,Unidade,Sala,Aula,Data,Fez a atividade antes da aula,Presença/Ausencia,Fez lição de casa,Participação,Comportamento
Estudante 14,Capão Redondo,Four Corners A1,5,2025-03-15,,,,,
Estudante 14,Capão Redondo,Four Corners A1,6,2025-03-29,,,,,
Estudante 14,Capão Redondo,Four Corners A1,7,2025-04-05,,,,,
Estudante 14,Capão Redondo,Four Corners A1,8,2025-04-12,,,,,
Estudante 14,Capão Redondo,Four Corners A1,9,2025-04-26,,,,,
Estudante 14,Capão Redondo,Four Corners A1,10,2025-05-17,,,,,
Estudante 14,Capão Redondo,Four Corners A1,11,2025-05-24,,,,,
Estudante 14,Capão Redondo,Four Corners A1,12,2025-05-31,,,,,
Estudante 14,Capão Redondo,Four Corners A1,13,2025-06-07,,,,,
Estudante 14,Capão Redondo,Four Corners A1,14,,,,,,
Estudante 14,Capão Redondo,Four Corners A1,15,,,3,,,
Estudante 15,Capão Redondo,Four Corners A1,1,2025-02-08,,A,,,
Estudante 15,Capão Redondo,Four Corners A1,2,2025-02-15,N,A,,,
Estudante 15,Capão Redondo,Four Corners A1,3,2025-02-22,,,,,
Estudante 15,Capão Redondo,Four Corners A1,4,2025-03-08,,,,,
Estudante 15,Capão Redondo,Four Corners A1,5,2025-03-15,,,,,
Estudante 15,Capão Redondo,Four Corners A1,6,2025-03-29,,,,,
Estudante 15,Capão Redondo,Four Corners A1,7,2025-04-05,,,,,
Estudante 15,Capão Redondo,Four Corners A1,8,2025-04-12,,,,,
Estudante 15,Capão Redondo,Four Corners A1,9,2025-04-26,,,,,
Estudante 15,Capão Redondo,Four Corners A1,10,2025-05-17,,,,,
Estudante 15,Capão Redondo,Four Corners A1,11,2025-05-24,,,,,
Estudante 15,Capão Redondo,Four Corners A1,12,2025-05-31,,,,,
Estudante 15,Capão Redondo,Four Corners A1,13,2025-06-07,,,,,
Estudante 15,Capão Redondo,Four Corners A1,14,,,,,,
Estudante 15,Capão Redondo,Four Corners A1,15,,,0,,,
Estudante 16,Capão Redondo,Four Corners A1,1,2025-02-08,,P,,,
Estudante 16,Capão Redondo,Four Corners A1,2,2025-02-15,N,P,N,:-D,
Estudante 16,Capão Redondo,Four Corners A1,3,2025-02-22,N,P,N,:-D,
Estudante 16,Capão Redondo,Four Corners A1,4,2025-03-08,√,P,N,,
Estudante 16,Capão Redondo,Four Corners A1,5,2025-03-15,N,P,N,,
Estudante 16,Capão Redondo,Four Corners A1,6,2025-03-29,N,P,N,:-D,
Estudante 16,Capão Redondo,Four Corners A1,7,2025-04-05,N,P,N,,
Estudante 16,Capão Redondo,Four Corners A1,8,2025-04-12,√,P,N,:-D,
Estudante 16,Capão Redondo,Four Corners A1,9,2025-04-26,√,P,N,:-D,
Estudante 16,Capão Redondo,Four Corners A1,10,2025-05-17,N,P,N,:-D,
Estudante 16,Capão Redondo,Four Corners A1,11,2025-05-24,√,P,N,:-D,
Estudante 16,Capão Redondo,Four Corners A1,12,2025-05-31,√,P,N,:-D,
Estudante 16,Capão Redondo,Four Corners A1,13,2025-06-07,√,P,,,
Estudante 16,Capão Redondo,Four Corners A1,14,,,,,,
Estudante 16,Capão Redondo,Four Corners A1,15,,,13,,,
Estudante 17,Capão Redondo,Four Corners A1,1,2025-02-08,,A,,,
Estudante 17,Capão Redondo,Four Corners A1,2,2025-02-15,√,P,√,:-D,
Estudante 17,Capão Redondo,Four Corners A1,3,2025-02-22,√,P,√,:-D,
Estudante 17,Capão Redondo,Four Corners A1,4,2025-03-08,√,P,√,,
Estudante 17,Capão Redondo,Four Corners A1,5,2025-03-15,√,P,√,,
Estudante 17,Capão Redondo,Four Corners A1,6,2025-03-29,√,P,√,:-D,
Estudante 17,Capão Redondo,Four Corners A1,7,2025-04-05,√,P,√,,
Estudante 17,Capão Redondo,Four Corners A1,8,2025-04-12,√,P,√,:-D,
Estudante 17,Capão Redondo,Four Corners A1,9,2025-04-26,√,P,√,:-D,
Estudante 17,Capão Redondo,Four Corners A1,10,2025-05-17,√,P,√,:-D,
Estudante 17,Capão Redondo,Four Corners A1,11,2025-05-24,√,P,√,:-D,
Estudante 17,Capão Redondo,Four Corners A1,12,2025-05-31,√,P,√,:-D,
Estudante 17,Capão Redondo,Four Corners A1,13,2025-06-07,√,P,,,
Estudante 17,Capão Redondo,Four Corners A1,14,,,,,,
Estudante 17,Capão Redondo,Four Corners A1,15,,,12,,,
Estudante 18,Capão Redondo,Four Corners A1,1,2025-02-08,,P,,,
Estudante 18,Capão Redondo,Four Corners A1,2,2025-02-15,√,P,√,:-D,
Estudante 18,Capão Redondo,Four Corners A1,3,2025-02-22,√,A,√,:-D,
Estudante 18,Capão Redondo,Four Corners A1,4,2025-03-08,√,P,√,,
Estudante 18,Capão Redondo,Four Corners A1,5,2025-03-15,N,P,N,,
Estudante 18,Capão Redondo,Four Corners A1,6,2025-03-29,N,P,√,:-D,
Estudante 18,Capão Redondo,Four Corners A1,7,2025-04-05,√,P,√,,
Estudante 18,Capão Redondo,Four Corners A1,8,2025-04-12,√,P,√,:-D,
Estudante 18,Capão Redondo,Four Corners A1,9,2025-04-26,√,P,√,:-D,
Estudante 18,Capão Redondo,Four Corners A1,10,2025-05-17,√,A,√,,
Estudante 18,Capão Redondo,Four Corners A1,11,2025-05-24,√,P,√,:-D,
Estudante 18,Capão Redondo,Four Corners A1,12,2025-05-31,√,A,√,,
Estudante 18,Capão Redondo,Four Corners A1,13,2025-06-07,√,P,,,
Estudante 18,Capão Redondo,Four Corners A1,14,,,,,,
Estudante 18,Capão Redondo,Four Corners A1,15,,,10,,,
Estudante 19,Capão Redondo,Four Corners A1,1,2025-02-08,,P,,,
Estudante 19,Capão Redondo,Four Corners A1,2,2025-02-15,√,P,√,:-D,
Estudante 19,Capão Redondo,Four Corners A1,3,2025-02-22,√,A,√,:-D,
Estudante 19,Capão Redondo,Four Corners A1,4,2025-03-08,√,P,√,,
Estudante 19,Capão Redondo,Four Corners A1,5,2025-03-15,N,P,√,,
Estudante 19,Capão Redondo,Four Corners A1,6,2025-03-29,√,P,√,:-D,
Estudante 19,Capão Redondo,Four Corners A1,7,2025-04-05,√,P,√,,
Estudante 19,Capão Redondo,Four Corners A1,8,2025-04-12,√,P,√,:-D,
Estudante 19,Capão Redondo,Four Corners A1,9,2025-04-26,√,P,√,:-D,
Estudante 19,Capão Redondo,Four Corners A1,10,2025-05-17,√,A,√,,
Estudante 19,Capão Redondo,Four Corners A1,11,2025-05-24,√,P,√,:-D,
Estudante 19,Capão Redondo,Four Corners A1,12,2025-05-31,√,A,√,,
Estudante 19,Capão Redondo,Four Corners A1,13,2025-06-07,√,P,,,
Estudante 19,Capão Redondo,Four Corners A1,14,,,,,,
Estudante 19,Capão Redondo,Four Corners A1,15,,,10,,,
Estudante 2,Capão Redondo,Four Corners A1,1,2025-02-08,,A,,,
Estudante 2,Capão Redondo,Four Corners A1,2,2025-02-15,√,P,N,:-D,
Estudante 2,Capão Redondo,Four Corners A1,3,2025-02-22,√,P,√,:-D,
Estudante 2,Capão Redondo,Four Corners A1,4,2025-03-08,N,P,√,,
Estudante 2,Capão Redondo,Four Corners A1,5,2025-03-15,√,P,√,,
Estudante 2,Capão Redondo,Four Corners A1,6,2025-03-29,√,P,√,:-D,
Estudante 2,Capão Redondo,Four Corners A1,7,2025-04-05,N,A,√,,
Estudante 2,Capão Redondo,Four Corners A1,8,2025-04-12,√,P,√,:-D,
Estudante 2,Capão Redondo,Four Corners A1,9,2025-04-26,N,P,√,:-D,
Estudante 2,Capão Redondo,Four Corners A1,10,2025-05-17,√,P,√,:-D,
Estudante 2,Capão Redondo,Four Corners A1,11,2025-05-24,√,1/2,√,:-D,
Estudante 2,Capão Redondo,Four Corners A1,12,2025-05-31,√,A,√,,
Estudante 2,Capão Redondo,Four Corners A1,13,2025-06-07,N,P,,,
Estudante 2,Capão Redondo,Four Corners A1,14,,,,,,
Estudante 2,Capão Redondo,Four Corners A1,15,,,9,,,
Estudante 3,Capão Redondo,Four Corners A1,1,2025-02-08,,A,,,
Estudante 3,Capão Redondo,Four Corners A1,2,2025-02-15,N,A,,,
Estudante 3,Capão Redondo,Four Corners A1,3,2025-02-22,,,,,
Estudante 3,Capão Redondo,Four Corners A1,4,2025-03-08,,,,,
Estudante 3,Capão Redondo,Four Corners A1,5,2025-03-15,,,,,
Estudante 3,Capão Redondo,Four Corners A1,6,2025-03-29,,,,,
Estudante 3,Capão Redondo,Four Corners A1,7,2025-04-05,,,,,
Estudante 3,Capão Redondo,Four Corners A1,8,2025-04-12,,,,,
Estudante 3,Capão Redondo,Four Corners A1,9,2025-04-26,,,,,
Estudante 3,Capão Redondo,Four Corners A1,10,2025-05-17,,,,,
Estudante 3,Capão Redondo,Four Corners A1,11,2025-05-24,,,,,
Estudante 3,Capão Redondo,Four Corners A1,12,2025-05-31,,,,,
Estudante 3,Capão Redondo,Four Corners A1,13,2025-06-07,,,,,
Estudante 3,Capão Redondo,Four Corners A1,14,,,,,,
Estudante 3,Capão Redondo,Four Corners A1,15,,,0,,,
Estudante 4,Capão Redondo,Four Corners A1,1,2025-02-08,,P,,,
Estudante 4,Capão Redondo,Four Corners A1,2,2025-02-15,√,P,√,:-D,
Estudante 4,Capão Redondo,Four Corners A1,3,2025-02-22,√,P,N,:-D,
Estudante 4,Capão Redondo,Four Corners A1,4,2025-03-08,N,P,√,,
Estudante 4,Capão Redondo,Four Corners A1,5,2025-03-15,N,P,N,,
Estudante 4,Capão Redondo,Four Corners A1,6,2025-03-29,√,P,+/-,:-D,
Estudante 4,Capão Redondo,Four Corners A1,7,2025-04-05,√,P,N,,
Estudante 4,Capão Redondo,Four Corners A1,8,2025-04-12,N,P,N,:-D,
Estudante 4,Capão Redondo,Four Corners A1,9,2025-04-26,N,P,N,:-D,
Estudante 4,Capão Redondo,Four Corners A1,10,2025-05-17,N,P,√,:-D,
Estudante 4,Capão Redondo,Four Corners A1,11,2025-05-24,N,P,N,:-D,
Estudante 4,Capão Redondo,Four Corners A1,12,2025-05-31,N,P,N,:-D,
Estudante 4,Capão Redondo,Four Corners A1,13,2025-06-07,√,P,,,
Estudante 4,Capão Redondo,Four Corners A1,14,,,,,,
Estudante 4,Capão Redondo,Four Corners A1,15,,,13,,,
Estudante 5,Capão Redondo,Four Corners A1,1,2025-02-08,,P,,,
Estudante 5,Capão Redondo,Four Corners A1,2,2025-02-15,√,P,√,:-D,
Estudante 5,Capão Redondo,Four Corners A1,3,2025-02-22,√,P,√,:-D,
Estudante 5,Capão Redondo,Four Corners A1,4,2025-03-08,√,P,√,,
Estudante 5,Capão Redondo,Four Corners A1,5,2025-03-15,N,P,√,,
Estudante 5,Capão Redondo,Four Corners A1,6,2025-03-29,√,P,N,:-D,
Estudante 5,Capão Redondo,Four Corners A1,7,2025-04-05,N,A,√,,
Estudante 5,Capão Redondo,Four Corners A1,8,2025-04-12,√,P,√,:-D,
Estudante 5,Capão Redondo,Four Corners A1,9,2025-04-26,√,P,√,:-D,
Estudante 5,Capão Redondo,Four Corners A1,10,2025-05-17,√,P,√,:-D,
Estudante 5,Capão Redondo,Four Corners A1,11,2025-05-24,√,P,√,:-D,
Estudante 5,Capão Redondo,Four Corners A1,12,2025-05-31,√,A,√,,
Estudante 5,Capão Redondo,Four Corners A1,13,2025-06-07,√,P,,,
Estudante 5,Capão Redondo,Four Corners A1,14,,,,,,
Estudante 5,Capão Redondo,Four Corners A1,15,,,11,,,
Estudante 6,Capão Redondo,Four Corners A1,1,2025-02-08,,P,,,
Estudante 6,Capão Redondo,Four Corners A1,2,2025-02-15,√,P,√,:-D,
Estudante 6,Capão Redondo,Four Corners A1,3,2025-02-22,√,P,√,:-D,
Estudante 6,Capão Redondo,Four Corners A1,4,2025-03-08,√,P,√,,
Estudante 6,Capão Redondo,Four Corners A1,5,2025-03-15,√,P,√,,
Estudante 6,Capão Redondo,Four Corners A1,6,2025-03-29,√,1/2,√,:-D,
Estudante 6,Capão Redondo,Four Corners A1,7,2025-04-05,N,P,√,,
Estudante 6,Capão Redondo,Four Corners A1,8,2025-04-12,√,P,√,:-D,
Estudante 6,Capão Redondo,Four Corners A1,9,2025-04-26,√,P,√,:-D,
Estudante 6,Capão Redondo,Four Corners A1,10,2025-05-17,√,P,√,:-D,
Estudante 6,Capão Redondo,Four Corners A1,11,2025-05-24,√,P,√,:-D,
Estudante 6,Capão Redondo,Four Corners A1,12,2025-05-31,√,P,√,:-D,
Estudante 6,Capão Redondo,Four Corners A1,13,2025-06-07,√,P,,,
Estudante 6,Capão Redondo,Four Corners A1,14,,,,,,
Estudante 6,Capão Redondo,Four Corners A1,15,,,12,,,
Estudante 7,Capão Redondo,Four Corners A1,1,2025-02-08,,P,,,
Estudante 7,Capão Redondo,Four Corners A1,2,2025-02-15,√,P,√,:-D,
Estudante 7,Capão Redondo,Four Corners A1,3,2025-02-22,√,P,√,:-D,
Estudante 7,Capão Redondo,Four Corners A1,4,2025-03-08,√,A,√,,
Estudante 7,Capão Redondo,Four Corners A1,5,2025-03-15,N,P,√,,
Estudante 7,Capão Redondo,Four Corners A1,6,2025-03-29,√,P,√,:-D,
Estudante 7,Capão Redondo,Four Corners A1,7,2025-04-05,√,P,√,,
Estudante 7,Capão Redondo,Four Corners A1,8,2025-04-12,√,P,√,:-D,
Estudante 7,Capão Redondo,Four Corners A1,9,2025-04-26,√,P,√,:-D,
Estudante 7,Capão Redondo,Four Corners A1,10,2025-05-17,√,P,√,:-D,
Estudante 7,Capão Redondo,Four Corners A1,11,2025-05-24,√,P,N,:-D,
Estudante 7,Capão Redondo,Four Corners A1,12,2025-05-31,√,P,√,:-D,
Estudante 7,Capão Redondo,Four Corners A1,13,2025-06-07,√,P,,,
Estudante 7,Capão Redondo,Four Corners A1,14,,,,,,
Estudante 7,Capão Redondo,Four Corners A1,15,,,12,,,
Estudante 8,Capão Redondo,Four Corners A1,1,2025-02-08,,A,,,
Estudante 8,Capão Redondo,Four Corners A1,2,2025-02-15,√,P,√,:-D,
Estudante 8,Capão Redondo,Four Corners A1,3,2025-02-22,√,P,√,:-D,
Estudante 8,Capão Redondo,Four Corners A1,4,2025-03-08,√,A,√,,
Estudante 8,Capão Redondo,Four Corners A1,5,2025-03-15,√,P,√,,
Estudante 8,Capão Redondo,Four Corners A1,6,2025-03-29,√,P,N,:-D,
Estudante 8,Capão Redondo,Four Corners A1,7,2025-04-05,√,P,√,,
Estudante 8,Capão Redondo,Four Corners A1,8,2025-04-12,√,P,√,:-D,
Estudante 8,Capão Redondo,Four Corners A1,9,2025-04-26,√,P,+/-,:-D,
Estudante 8,Capão Redondo,Four Corners A1,10,2025-05-17,+/-,A,√,,
Estudante 8,Capão Redondo,Four Corners A1,11,2025-05-24,√,P,√,:-D,
Estudante 8,Capão Redondo,Four Corners A1,12,2025-05-31,√,P,√,:-D,
Estudante 8,Capão Redondo,Four Corners A1,13,2025-06-07,√,P,,,
Estudante 8,Capão Redondo,Four Corners A1,14,,,,,,
Estudante 8,Capão Redondo,Four Corners A1,15,,,10,,,
Estudante 9,Capão Redondo,Four Corners A1,1,2025-02-08,,A,,,
Estudante 9,Capão Redondo,Four Corners A1,2,2025-02-15,,,,,
Estudante 9,Capão Redondo,Four Corners A1,3,2025-02-22,,,,,
Estudante 9,Capão Redondo,Four Corners A1,4,2025-03-08,,,,,
Estudante 9,Capão Redondo,Four Corners A1,5,2025-03-15,,,,,
Estudante 9,Capão Redondo,Four Corners A1,6,2025-03-29,,,,,
Estudante 9,Capão Redondo,Four Corners A1,7,2025-04-05,,,,,
Estudante 9,Capão Redondo,Four Corners A1,8,2025-04-12,,,,,
Estudante 9,Capão Redondo,Four Corners A1,9,2025-04-26,,,,,
Estudante 9,Capão Redondo,Four Corners A1,10,2025-05-17,,,,,
Estudante 9,Capão Redondo,Four Corners A1,11,2025-05-24,,,,,
Estudante 9,Capão Redondo,Four Corners A1,12,2025-05-31,,,,,
Estudante 9,Capão Redondo,Four Corners A1,13,2025-06-07,,,,,
Estudante 9,Capão Redondo,Four Corners A1,14,,,,,,
Estudante 9,Capão Redondo,Four Corners A1,15,,,0,,,
Estudante 1,Capão Redondo,Four Corners B1,1,2025-02-08,,P,,:-D,
Estudante 1,Capão Redondo,Four Corners B1,2,2025-02-15,√,P,√,:-D,
Estudante 1,Capão Redondo,Four Corners B1,3,2025-02-22,√,P,√,:-D,
Estudante 1,Capão Redondo,Four Corners B1,4,2025-03-08,√,P,√,:-D,
Estudante 1,Capão Redondo,Four Corners B1,5,2025-03-15,√,P,√,,
Estudante 1,Capão Redondo,Four Corners B1,6,2025-03-29,√,P,√,,
Estudante 1,Capão Redondo,Four Corners B1,7,2025-04-05,√,P,√,:-D,
Estudante 1,Capão Redondo,Four Corners B1,8,2025-04-12,√,P,√,,
Estudante 1,Capão Redondo,Four Corners B1,9,2025-04-26,√,P,√,,
Estudante 1,Capão Redondo,Four Corners B1,10,2025-05-17,√,P,√,,
Estudante 1,Capão Redondo,Four Corners B1,11,2025-05-24,√,P,√,,
Estudante 1,Capão Redondo,Four Corners B1,12,2025-05-31,√,P,√,,
Estudante 1,Capão Redondo,Four Corners B1,13,2025-06-07,√,P,,:-D,
Estudante 1,Capão Redondo,Four Corners B1,14,,,,,,
Estudante 1,Capão Redondo,Four Corners B1,15,,,13,,:-D,
Estudante 10,Capão Redondo,Four Corners B1,1,2025-02-08,,P,,:-D,
Estudante 10,Capão Redondo,Four Corners B1,2,2025-02-15,√,P,√,:-D,
Estudante 10,Capão Redondo,Four Corners B1,3,2025-02-22,√,P,√,:-D,
Estudante 10,Capão Redondo,Four Corners B1,4,2025-03-08,√,P,N,:-D,
Estudante 10,Capão Redondo,Four Corners B1,5,2025-03-15,√,P,√,,
Estudante 10,Capão Redondo,Four Corners B1,6,2025-03-29,√,P,√,,
Estudante 10,Capão Redondo,Four Corners B1,7,2025-04-05,√,P,√,:-D,
Estudante 10,Capão Redondo,Four Corners B1,8,2025-04-12,√,P,√,,
Estudante 10,Capão Redondo,Four Corners B1,9,2025-04-26,√,P,√,,
Estudante 10,Capão Redondo,Four Corners B1,10,2025-05-17,√,P,√,,
Estudante 10,Capão Redondo,Four Corners B1,11,2025-05-24,√,P,√,,
Estudante 10,Capão Redondo,Four Corners B1,12,2025-05-31,√,P,√,,
Estudante 10,Capão Redondo,Four Corners B1,13,2025-06-07,√,P,,:-D,
Estudante 10,Capão Redondo,Four Corners B1,14,,,,,,
Estudante 10,Capão Redondo,Four Corners B1,15,,,13,,:-D,
Estudante 11,Capão Redondo,Four Corners B1,1,2025-02-08,,A,,,
Estudante 11,Capão Redondo,Four Corners B1,2,2025-02-15,N,P,N,:-D,
Estudante 11,Capão Redondo,Four Corners B1,3,2025-02-22,N,A,√,,
Estudante 11,Capão Redondo,Four Corners B1,4,2025-03-08,N,A,N,:-D,
Estudante 11,Capão Redondo,Four Corners B1,5,2025-03-15,N,A,N,,
Estudante 11,Capão Redondo,Four Corners B1,6,2025-03-29,√,P,N,,
Estudante 11,Capão Redondo,Four Corners B1,7,2025-04-05,√,P,√,:-D,
Estudante 11,Capão Redondo,Four Corners B1,8,2025-04-12,√,P,√,,
Estudante 11,Capão Redondo,Four Corners B1,9,2025-04-26,√,P,√,,
Estudante 11,Capão Redondo,Four Corners B1,10,2025-05-17,√,A,√,,
Estudante 11,Capão Redondo,Four Corners B1,11,2025-05-24,N,P,N,,
Estudante 11,Capão Redondo,Four Corners B1,12,2025-05-31,N,P,N,,
Estudante 11,Capão Redondo,Four Corners B1,13,2025-06-07,√,P,,:-D,
Estudante 11,Capão Redondo,Four Corners B1,14,,,,,,
Estudante 11,Capão Redondo,Four Corners B1,15,,,8,,,
Estudante 12,Capão Redondo,Four Corners B1,1,2025-02-08,,P,,:-D,
Estudante 12,Capão Redondo,Four Corners B1,2,2025-02-15,√,P,√,:-D,
Estudante 12,Capão Redondo,Four Corners B1,3,2025-02-22,√,P,√,:-D,
Estudante 12,Capão Redondo,Four Corners B1,4,2025-03-08,√,P,√,:-D,
Estudante 12,Capão Redondo,Four Corners B1,5,2025-03-15,√,P,√,,
Estudante 12,Capão Redondo,Four Corners B1,6,2025-03-29,√,P,√,,
Estudante 12,Capão Redondo,Four Corners B1,7,2025-04-05,√,A,N,,
Estudante 12,Capão Redondo,Four Corners B1,8,2025-04-12,N,A,√,,
Estudante 12,Capão Redondo,Four Corners B1,9,2025-04-26,√,1/2,√,,
Estudante 12,Capão Redondo,Four Corners B1,10,2025-05-17,√,P,√,,
Estudante 12,Capão Redondo,Four Corners B1,11,2025-05-24,√,P,√,,
Estudante 12,Capão Redondo,Four Corners B1,12,2025-05-31,√,P,√,,
Estudante 12,Capão Redondo,Four Corners B1,13,2025-06-07,√,P,,:-D,
Estudante 12,Capão Redondo,Four Corners B1,14,,,,,,
Estudante 12,Capão Redondo,Four Corners B1,15,,,10,,:-D,
Estudante 13,Capão Redondo,Four Corners B1,1,2025-02-08,,A,,,
Estudante 13,Capão Redondo,Four Corners B1,2,2025-02-15,√,P,√,:-D,
Estudante 13,Capão Redondo,Four Corners B1,3,2025-02-22,√,A,√,,
Estudante 13,Capão Redondo,Four Corners B1,4,2025-03-08,√,P,√,:-D,
Estudante 13,Capão Redondo,Four Corners B1,5,2025-03-15,√,P,√,,
Estudante 13,Capão Redondo,Four Corners B1,6,2025-03-29,√,A,+/-,,
Estudante 13,Capão Redondo,Four Corners B1,7,2025-04-05,√,P,√,:-D,
Estudante 13,Capão Redondo,Four Corners B1,8,2025-04-12,√,P,√,,
Estudante 13,Capão Redondo,Four Corners B1,9,2025-04-26,√,A,N,,
Estudante 13,Capão Redondo,Four Corners B1,10,2025-05-17,√,P,N,,
Estudante 13,Capão Redondo,Four Corners B1,11,2025-05-24,√,P,√,,
Estudante 13,Capão Redondo,Four Corners B1,12,2025-05-31,√,P,√,,
Estudante 13,Capão Redondo,Four Corners B1,13,2025-06-07,N,P,,:-D,
Estudante 13,Capão Redondo,Four Corners B1,14,,,,,,
Estudante 13,Capão Redondo,Four Corners B1,15,,,9,,,
Estudante 14,Capão Redondo,Four Corners B1,1,2025-02-08,,A,,,
Estudante 14,Capão Redondo,Four Corners B1,2,2025-02-15,√,P,√,:-D,
Estudante 14,Capão Redondo,Four Corners B1,3,2025-02-22,√,P,√,:-D,
Estudante 14,Capão Redondo,Four Corners B1,4,2025-03-08,√,P,√,:-D,
Estudante 14,Capão Redondo,Four Corners B1,5,2025-03-15,√,P,√,,
Estudante 14,Capão Redondo,Four Corners B1,6,2025-03-29,√,P,√,,
Estudante 14,Capão Redondo,Four Corners B1,7,2025-04-05,√,1/2,√,:-D,
Estudante 14,Capão Redondo,Four Corners B1,8,2025-04-12,√,P,√,,
Estudante 14,Capão Redondo,Four Corners B1,9,2025-04-26,√,P,√,,
Estudante 14,Capão Redondo,Four Corners B1,10,2025-05-17,√,P,√,,
Estudante 14,Capão Redondo,Four Corners B1,11,2025-05-24,√,P,√,,
Estudante 14,Capão Redondo,Four Corners B1,12,2025-05-31,√,P,√,,
Estudante 14,Capão Redondo,Four Corners B1,13,2025-06-07,N,P,,:-D,
Estudante 14,Capão Redondo,Four Corners B1,14,,,,,,
Estudante 14,Capão Redondo,Four Corners B1,15,,,11,,,
Estudante 15,Capão Redondo,Four Corners B1,1,2025-02-08,,P,,:-D,
Estudante 15,Capão Redondo,Four Corners B1,2,2025-02-15,N,A,N,,
Estudante 15,Capão Redondo,Four Corners B1,3,2025-02-22,N,P,√,:-D,
Estudante 15,Capão Redondo,Four Corners B1,4,2025-03-08,N,A,N,,
Estudante 15,Capão Redondo,Four Corners B1,5,2025-03-15,N,A,N,,
Estudante 15,Capão Redondo,Four Corners B1,6,2025-03-29,N,P,N,,
Estudante 15,Capão Redondo,Four Corners B1,7,2025-04-05,N,A,N,,
Estudante 15,Capão Redondo,Four Corners B1,8,2025-04-12,N,A,N,,
Estudante 15,Capão Redondo,Four Corners B1,9,2025-04-26,N,A,N,,
Estudante 15,Capão Redondo,Four Corners B1,10,2025-05-17,N,A,N,,
Estudante 15,Capão Redondo,Four Corners B1,11,2025-05-24,N,A,N,,
Estudante 15,Capão Redondo,Four Corners B1,12,2025-05-31,N,A,N,,
Estudante 15,Capão Redondo,Four Corners B1,13,2025-06-07,N,A,,,
Estudante 15,Capão Redondo,Four Corners B1,14,,,,,,
Estudante 15,Capão Redondo,Four Corners B1,15,,,3,,:-D,
Estudante 16,Capão Redondo,Four Corners B1,1,2025-02-08,,P,,:-D,
Estudante 16,Capão Redondo,Four Corners B1,2,2025-02-15,√,P,√,:-D,
Estudante 16,Capão Redondo,Four Corners B1,3,2025-02-22,√,P,√,:-D,
Estudante 16,Capão Redondo,Four Corners B1,4,2025-03-08,√,P,√,:-D,
Estudante 16,Capão Redondo,Four Corners B1,5,2025-03-15,√,P,√,,
Estudante 16,Capão Redondo,Four Corners B1,6,2025-03-29,√,P,√,,
Estudante 16,Capão Redondo,Four Corners B1,7,2025-04-05,√,P,√,:-D,
Estudante 16,Capão Redondo,Four Corners B1,8,2025-04-12,√,A,√,,
Estudante 16,Capão Redondo,Four Corners B1,9,2025-04-26,√,P,√,,
Estudante 16,Capão Redondo,Four Corners B1,10,2025-05-17,√,P,√,,
Estudante 16,Capão Redondo,Four Corners B1,11,2025-05-24,√,P,√,,
Estudante 16,Capão Redondo,Four Corners B1,12,2025-05-31,√,P,√,,
Estudante 16,Capão Redondo,Four Corners B1,13,2025-06-07,√,P,,:-D,
Estudante 16,Capão Redondo,Four Corners B1,14,,,,,,
Estudante 16,Capão Redondo,Four Corners B1,15,,,12,,:-D,
Estudante 17,Capão Redondo,Four Corners B1,1,2025-02-08,,P,,:-D,
Estudante 17,Capão Redondo,Four Corners B1,2,2025-02-15,N,P,N,:-D,
Estudante 17,Capão Redondo,Four Corners B1,3,2025-02-22,√,P,√,:-D,
Estudante 17,Capão Redondo,Four Corners B1,4,2025-03-08,√,P,N,:-D,
Estudante 17,Capão Redondo,Four Corners B1,5,2025-03-15,N,P,√,,
Estudante 17,Capão Redondo,Four Corners B1,6,2025-03-29,√,P,√,,
Estudante 17,Capão Redondo,Four Corners B1,7,2025-04-05,√,P,√,:-D,
Estudante 17,Capão Redondo,Four Corners B1,8,2025-04-12,√,P,√,,
Estudante 17,Capão Redondo,Four Corners B1,9,2025-04-26,√,P,√,,
Estudante 17,Capão Redondo,Four Corners B1,10,2025-05-17,√,A,√,,
Estudante 17,Capão Redondo,Four Corners B1,11,2025-05-24,√,P,√,,
Estudante 17,Capão Redondo,Four Corners B1,12,2025-05-31,√,P,√,,
Estudante 17,Capão Redondo,Four Corners B1,13,2025-06-07,√,P,,:-D,
Estudante 17,Capão Redondo,Four Corners B1,14,,,,,,
Estudante 17,Capão Redondo,Four Corners B1,15,,,12,,:-D,
Estudante 18,Capão Redondo,Four Corners B1,1,2025-02-08,,P,,:-D,
Estudante 18,Capão Redondo,Four Corners B1,2,2025-02-15,N,A,N,,
Estudante 18,Capão Redondo,Four Corners B1,3,2025-02-22,N,A,,,
Estudante 18,Capão Redondo,Four Corners B1,4,2025-03-08,,,,,
Estudante 18,Capão Redondo,Four Corners B1,5,2025-03-15,,,,,
Estudante 18,Capão Redondo,Four Corners B1,6,2025-03-29,,,,,
Estudante 18,Capão Redondo,Four Corners B1,7,2025-04-05,√,,,:-D,
Estudante 18,Capão Redondo,Four Corners B1,8,2025-04-12,,,,,
Estudante 18,Capão Redondo,Four Corners B1,9,2025-04-26,,,,,
Estudante 18,Capão Redondo,Four Corners B1,10,2025-05-17,,,,,
Estudante 18,Capão Redondo,Four Corners B1,11,2025-05-24,,,,,
Estudante 18,Capão Redondo,Four Corners B1,12,2025-05-31,,,,,
Estudante 18,Capão Redondo,Four Corners B1,13,2025-06-07,,,,,
